StockCode,Description,TotalQtySold,DaysWithSales,StdDevOnSaleDays,AvgDailyDemand,AvgDailyDemand_ActiveDays,Safety_Stock,ReorderPoint,SimulatedDaysOfStock,CurrentStock,ReorderFlag,TotalRevenue_x,TotalRevenue_y,TotalRevenue,CumulativeRevenue,CumulativeRevenuePercent,ABC_Category
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1066,262,6.6800908976937325,1.442489851150203,4.068702290076335,29.0,39.0,14,20.19485791610284,Reorder Now,6292.01,6292.01,6292.01,20980796.180000022,76.11476559207789,A
22196,SMALL HEART MEASURING SPOONS,6722,453,21.85993406356648,9.096075778078484,14.838852097130244,95.0,159.0,6,54.5764546684709,Reorder Now,6288.05,6288.05,6288.05,20987084.230000023,76.1375775696442,A
22196,HEART MEASURING SPOONS SMALL,12,1,0.0,0.0162381596752368,12.0,0.0,0.0,7,0.1136671177266576,OK,6288.05,6288.05,6288.05,20993372.280000024,76.1603895472105,A
22855,FINE WICKER HEART ,5020,179,27.956591799529296,6.792963464140731,28.044692737430168,122.0,170.0,4,27.17185385656292,Reorder Now,6274.05,6274.05,6274.05,20999646.330000024,76.18315073515429,A
21730,GLASS STAR FROSTED T-LIGHT HOLDER,1278,182,13.66002193924775,1.72936400541272,7.021978021978022,60.0,72.0,14,24.21109607577808,Reorder Now,6273.4400000000005,6273.4400000000005,6273.4400000000005,21005919.770000026,76.20590971012165,A
72802C,VANILLA SCENT CANDLE JEWELLED BOX,2228,196,36.69259346910862,3.0148849797023005,11.36734693877551,160.0,181.0,1,3.0148849797023005,Reorder Now,6251.44,6251.44,6251.44,21012171.210000027,76.22858887282504,A
21584,RETRO SPOT SMALL TUBE MATCHES,2030,98,50.64491303669941,2.746955345060893,20.714285714285715,221.0,240.0,19,52.192151556156965,Reorder Now,6246.6,6246.6,6246.6,21018417.81000003,76.25125047683036,A
21584,RETROSPOT SMALL TUBE MATCHES,1846,146,16.260695037962527,2.4979702300405955,12.643835616438356,71.0,88.0,16,39.96752368064953,Reorder Now,6246.6,6246.6,6246.6,21024664.41000003,76.27391208083569,A
20751,FUNKY WASHING UP GLOVES ASSORTED,2941,314,10.51469110167268,3.979702300405954,9.36624203821656,46.0,74.0,14,55.71583220568336,Reorder Now,6241.68,6241.68,6241.68,21030906.09000003,76.29655583591652,A
21714,CITRONELLA CANDLE GARDEN POT,4324,279,30.69903503650327,5.851150202976996,15.49820788530466,134.0,175.0,5,29.25575101488498,Reorder Now,6236.16,6236.16,6236.16,21037142.25000003,76.31917956537477,A
84832,ZINC WILLIE WINKIE  CANDLE STICK,6888,354,23.0406626885966,9.320703653585928,19.45762711864407,101.0,166.0,9,83.88633288227335,Reorder Now,6233.23,6233.23,6233.23,21043375.48000003,76.34179266529057,A
85178,VICTORIAN SEWING KIT,5628,216,55.0405065778022,7.615696887686062,26.05555555555556,240.0,293.0,7,53.30987821380244,Reorder Now,6218.32,6218.32,6218.32,21049593.80000003,76.36435167425837,A
21078,SET/20 STRAWBERRY PAPER NAPKINS ,7242,377,28.16150447161217,9.799729364005414,19.20954907161804,123.0,192.0,18,176.39512855209745,Reorder Now,6213.389999999999,6213.389999999999,6213.389999999999,21055807.19000003,76.38689279802341,A
22222,CAKE PLATE LOVEBIRD WHITE,1499,278,9.215091724291458,2.0284167794316645,5.392086330935252,40.0,54.0,17,34.4830852503383,Reorder Now,6210.34,6210.34,6210.34,21062017.53000003,76.40942285690639,A
22826,LOVE SEAT ANTIQUE WHITE METAL,58,36,1.076443290995935,0.0784844384303112,1.6111111111111112,5.0,6.0,12,0.9418132611637344,Reorder Now,6210.0,6210.0,6210.0,21068227.53000003,76.4319516823271,A
21499,BLUE SPOTS  WRAP,6350,136,45.01119444396394,8.592692828146143,46.69117647058823,196.0,256.0,17,146.07577807848443,Reorder Now,6207.84,6207.84,6207.84,21074435.37000003,76.45447267163462,A
21499,BLUE POLKADOT WRAP,9102,188,57.66543920406959,12.31664411366712,48.41489361702128,252.0,338.0,2,24.63328822733424,Reorder Now,6207.84,6207.84,6207.84,21080643.21000003,76.47699366094216,A
21586,KINGS CHOICE GIANT TUBE MATCHES,2664,166,27.51898677418493,3.604871447902571,16.048192771084338,120.0,145.0,4,14.419485791610285,Reorder Now,6203.700000000001,6203.700000000001,6203.700000000001,21086846.91000003,76.49949963103272,A
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,4556,205,31.65451351275701,6.165087956698241,22.22439024390244,138.0,181.0,18,110.97158322056836,Reorder Now,6192.61,6192.61,6192.61,21093039.52000003,76.52196536848659,A
22772,DRAWER KNOB ACRYLIC EDWARDIAN PINK,24,1,0.0,0.0324763193504736,24.0,0.0,0.0,10,0.324763193504736,OK,6192.61,6192.61,6192.61,21099232.13000003,76.54443110594048,A
21591,COSY HOUR CIGAR BOX MATCHES ,4124,190,36.28601073867458,5.580514208389716,21.705263157894738,158.0,197.0,11,61.38565629228688,Reorder Now,6185.58,6185.58,6185.58,21105417.710000027,76.56687133974816,A
22167, OVAL WALL MIRROR DIAMANTE ,272,133,2.2825579140786907,0.3680649526387009,2.045112781954887,10.0,13.0,19,6.993234100135318,Reorder Now,6154.31,6154.31,6154.31,21111572.020000026,76.58919813130612,A
22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",425,95,10.492998785677877,0.5751014884979703,4.473684210526316,46.0,50.0,9,5.175913396481732,Reorder Now,6154.31,6154.31,6154.31,21117726.330000024,76.61152492286408,A
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3533,152,31.24714486782876,4.780784844384304,23.24342105263158,136.0,169.0,5,23.90392422192152,Reorder Now,6142.29,6142.29,6142.29,21123868.620000023,76.63380810790328,A
22331,WOODLAND PARTY BAG + STICKER SET,3732,302,23.624370650862108,5.050067658998647,12.357615894039736,103.0,138.0,16,80.80108254397835,Reorder Now,6135.5,6135.5,6135.5,21130004.120000023,76.65606665997554,A
22737,RIBBON REEL CHRISTMAS PRESENT ,3412,174,21.99046368293536,4.617050067658998,19.60919540229885,96.0,128.0,16,73.87280108254397,Reorder Now,6131.72,6131.72,6131.72,21136135.840000022,76.67831149884972,A
21667,GLASS CAKE COVER AND PLATE,354,119,2.6052820689669107,0.4790257104194858,2.974789915966386,11.0,14.0,17,8.143437077131258,Reorder Now,6126.25,6126.25,6126.25,21142262.090000022,76.70053649349283,A
22841,"CAKE TIN, ROUND, VINTAGE MINT,IVORY",27,4,6.075908711186061,0.0365358592692828,6.75,27.0,27.0,7,0.2557510148849796,Reorder Now,6114.280000000001,6114.280000000001,6114.280000000001,21148376.370000023,76.72271806300867,A
22841,ROUND CAKE TIN VINTAGE GREEN,757,187,5.332274850400521,1.0243572395128553,4.048128342245989,23.0,30.0,17,17.41407307171854,Reorder Now,6114.280000000001,6114.280000000001,6114.280000000001,21154490.650000025,76.74489963252451,A
23118,PARISIENNE JEWELLERY DRAWER ,813,124,10.633053557515325,1.1001353179972937,6.556451612903226,46.0,54.0,10,11.001353179972938,Reorder Now,6102.18,6102.18,6102.18,21160592.830000024,76.76703730529518,A
22361,GLASS JAR DAISY FRESH COTTON WOOL,1857,304,13.75425739827777,2.512855209742896,6.108552631578948,60.0,78.0,12,30.154262516914752,Reorder Now,6089.42,6089.42,6089.42,21166682.250000026,76.78912868695274,A
21918,SET 12 KIDS COLOUR  CHALK STICKS,14747,414,81.25628992383054,19.95534506089309,35.6207729468599,355.0,495.0,19,379.1515561569688,Reorder Now,6084.24,6084.24,6084.24,21172766.490000024,76.81120127644994,A
22491,PACK OF 12 COLOURED PENCILS,7554,253,60.57609924289892,10.22192151556157,29.857707509881426,264.0,336.0,6,61.33152909336943,Reorder Now,6067.87,6067.87,6067.87,21178834.360000025,76.83321447836711,A
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,2905,244,22.73798076814209,3.9309878213802434,11.905737704918034,99.0,127.0,13,51.10284167794316,Reorder Now,6057.64,6057.64,6057.64,21184892.000000026,76.85519056758153,A
21832,CHOCOLATE CALCULATOR,3439,264,24.461408606283737,4.653585926928281,13.026515151515152,107.0,140.0,5,23.267929634641405,Reorder Now,6034.19,6034.19,6034.19,21190926.190000027,76.87708158417821,A
22045,SPACEBOY GIFT WRAP,13892,298,50.99991381988312,18.79837618403248,46.61744966442953,223.0,355.0,6,112.7902571041949,Reorder Now,6034.14,6034.14,6034.14,21196960.330000028,76.8989724193834,A
22045,SPACE BOY GIFT WRAP,775,20,24.967083593361373,1.0487144790257104,38.75,109.0,116.0,1,1.0487144790257104,Reorder Now,6034.14,6034.14,6034.14,21202994.47000003,76.92086325458858,A
23526,DOG LICENCE WALL ART,408,19,47.70670628498056,0.5520974289580515,21.473684210526315,208.0,212.0,13,7.177266576454669,Reorder Now,6021.400000000001,6021.400000000001,6021.400000000001,21209015.870000027,76.94270787123725,A
23526,WALL ART DOG LICENCE ,604,51,25.598728522346267,0.8173207036535859,11.84313725490196,112.0,118.0,19,15.529093369418131,Reorder Now,6021.400000000001,6021.400000000001,6021.400000000001,21215037.270000026,76.96455248788592,A
21407,BROWN CHECK CAT DOORSTOP ,1317,292,5.777361071943568,1.7821380243572396,4.510273972602739,25.0,37.0,1,1.7821380243572396,Reorder Now,6014.84,6014.84,6014.84,21221052.110000025,76.98637330596861,A
23296,SET OF 6 TEA TIME BAKING CASES,4981,121,61.348233757166696,6.740189445196211,41.16528925619835,268.0,315.0,17,114.5832205683356,Reorder Now,5988.05,5988.05,5988.05,21227040.160000026,77.00809693448078,A
21452,TOADSTOOL MONEY BOX,1952,269,10.168964548185077,2.641407307171854,7.256505576208179,44.0,62.0,15,39.62110960757781,Reorder Now,5984.360000000001,5984.360000000001,5984.360000000001,21233024.520000026,77.02980717629957,A
23312,VINTAGE CHRISTMAS GIFT SACK,1424,92,18.47212230461605,1.9269282814614344,15.478260869565217,81.0,94.0,2,3.8538565629228687,Reorder Now,5968.3,5968.3,5968.3,21238992.820000026,77.05145915516567,A
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,2853,212,28.44022732764282,3.860622462787551,13.45754716981132,124.0,151.0,3,11.581867388362651,Reorder Now,5966.25,5966.25,5966.25,21244959.070000026,77.07310369697989,A
84509A,ENGLISH ROSE PLACEMATS,117,26,4.666904755831213,0.1583220568335588,4.5,20.0,21.0,14,2.216508795669823,Reorder Now,5962.14,5962.14,5962.14,21250921.210000027,77.09473332841206,A
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,1418,268,6.676948580755098,1.918809201623816,5.291044776119403,29.0,42.0,8,15.350473612990529,Reorder Now,5962.14,5962.14,5962.14,21256883.350000028,77.11636295984425,A
23052,RECYCLED ACAPULCO MAT TURQUOISE,654,136,3.920534177289381,0.8849797023004059,4.8088235294117645,17.0,23.0,17,15.0446549391069,Reorder Now,5949.34,5949.34,5949.34,21262832.690000027,77.13794615505013,A
22899,CHILDREN'S APRON DOLLY GIRL ,2734,237,17.108941208322264,3.699594046008119,11.535864978902952,75.0,101.0,13,48.09472259810555,Reorder Now,5939.99,5939.99,5939.99,21268772.680000026,77.15949543004382,A
22899,CHILDRENS APRON DOLLY GIRL ,107,10,6.23698645180507,0.1447902571041948,10.7,27.0,28.0,2,0.2895805142083896,Reorder Now,5939.99,5939.99,5939.99,21274712.670000024,77.1810447050375,A
21313,GLASS HEART T-LIGHT HOLDER ,6889,282,32.86860943179157,9.322056833558864,24.4290780141844,143.0,208.0,12,111.86468200270636,Reorder Now,5926.549999999999,5926.549999999999,5926.549999999999,21280639.220000025,77.20254522199356,A
22660,DOORMAT I LOVE LONDON,891,143,20.907136158782325,1.205683355886333,6.230769230769231,91.0,99.0,18,21.70230040595399,Reorder Now,5924.93,5924.93,5924.93,21286564.150000025,77.22403986186472,A
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,2726,276,12.47161309012706,3.688768606224628,9.876811594202898,54.0,80.0,3,11.066305818673884,Reorder Now,5910.21,5910.21,5910.21,21292474.360000025,77.24548110007564,A
22951,60 CAKE CASES DOLLY GIRL DESIGN,10289,281,62.94301535922343,13.922868741542626,36.61565836298932,275.0,372.0,14,194.92016238159675,Reorder Now,5909.849999999999,5909.849999999999,5909.849999999999,21298384.210000027,77.26692103226769,A
22951,72 CAKE CASES DOLLY GIRL DESIGN,943,16,86.12817483262954,1.2760487144790258,58.9375,376.0,385.0,4,5.104194857916103,Reorder Now,5909.849999999999,5909.849999999999,5909.849999999999,21304294.06000003,77.28836096445974,A
23154,SET OF 4 JAM JAR MAGNETS,2732,145,28.73433772946504,3.6968876860622464,18.841379310344827,125.0,151.0,2,7.393775372124493,Reorder Now,5907.360000000001,5907.360000000001,5907.360000000001,21310201.420000028,77.30979186335463,A
48197,DOOR MAT BIRD ON THE WIRE,667,117,14.556231606206795,0.9025710419485792,5.700854700854701,64.0,70.0,7,6.317997293640055,Reorder Now,5905.64,5905.64,5905.64,21316107.06000003,77.33121652238162,A
48197,DOORMAT BIRD ON THE WIRE,231,12,54.48790524677764,0.3125845737483085,19.25,238.0,240.0,15,4.688768606224627,Reorder Now,5905.64,5905.64,5905.64,21322012.70000003,77.35264118140861,A
22241,GARLAND WOODEN HAPPY EASTER,4274,193,39.647662934475775,5.783491204330176,22.14507772020725,173.0,213.0,5,28.91745602165088,Reorder Now,5899.92,5899.92,5899.92,21327912.62000003,77.37404508924696,A
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",105,9,8.48528137423857,0.142083897158322,11.666666666666666,37.0,38.0,6,0.852503382949932,Reorder Now,5899.92,5899.92,5899.92,21333812.540000033,77.39544899708532,A
22200,FRYING PAN PINK POLKADOT,660,135,9.21360663712542,0.8930987821380244,4.888888888888889,40.0,46.0,12,10.717185385656292,Reorder Now,5882.61,5882.61,5882.61,21339695.150000032,77.41679010718326,A
22200,FRYING PAN PINK RETROSPOT,7,3,1.5275252316519463,0.0094722598105548,2.333333333333333,7.0,7.0,13,0.1231393775372124,Reorder Now,5882.61,5882.61,5882.61,21345577.76000003,77.43813121728118,A
22200,FRYING PAN PINK POLKADOT ,650,113,9.841177134014986,0.8795669824086604,5.752212389380531,43.0,49.0,4,3.518267929634641,Reorder Now,5882.61,5882.61,5882.61,21351460.37000003,77.4594723273791,A
85132C,CHARLIE AND LOLA FIGURES TINS,2069,178,17.265913138054042,2.7997293640054126,11.623595505617978,75.0,95.0,7,19.59810554803789,Reorder Now,5881.19,5881.19,5881.19,21357341.560000032,77.48080828595819,A
23113,PANTRY CHOPPING BOARD,1154,39,150.20770145451368,1.561569688768606,29.58974358974359,656.0,667.0,10,15.61569688768606,Reorder Now,5868.5,5868.5,5868.5,21363210.060000032,77.50209820737227,A
22971,QUEENS GUARD COFFEE MUG,2431,169,23.210988776870312,3.2895805142083896,14.384615384615383,101.0,124.0,19,62.5020297699594,Reorder Now,5849.29,5849.29,5849.29,21369059.35000003,77.52331843816859,A
21988,PACK OF 6 SKULL PAPER PLATES,7855,291,77.71091403076898,10.629228687415424,26.993127147766323,339.0,413.0,1,10.629228687415424,Reorder Now,5848.679999999999,5848.679999999999,5848.679999999999,21374908.03000003,77.5445364559885,A
23485,BOTANICAL GARDENS WALL CLOCK ,262,33,22.78560317659404,0.3545331529093369,7.9393939393939394,99.0,101.0,12,4.254397834912043,Reorder Now,5843.92,5843.92,5843.92,21380751.950000033,77.56573720533675,A
21577,SAVE THE PLANET COTTON TOTE BAG,2593,299,24.75462668426632,3.5087956698240865,8.672240802675585,108.0,133.0,16,56.14073071718538,Reorder Now,5827.87,5827.87,5827.87,21386579.820000034,77.5868797280106,A
22119, PEACE WOODEN BLOCK LETTERS,137,28,3.823313336325557,0.1853856562922868,4.892857142857143,17.0,18.0,9,1.6684709066305812,Reorder Now,5825.77,5825.77,5825.77,21392405.590000033,77.60801463224108,A
22119,PEACE WOODEN BLOCK LETTERS,801,173,6.705743676316093,1.083897158322057,4.630057803468208,29.0,37.0,7,7.587280108254398,Reorder Now,5825.77,5825.77,5825.77,21398231.360000033,77.62914953647154,A
37495,FAIRY CAKE BIRTHDAY CANDLE SET,1581,233,7.949536525816136,2.1393775372124493,6.785407725321888,35.0,50.0,2,4.2787550744248986,Reorder Now,5811.35,5811.35,5811.35,21404042.710000034,77.65023212739082,A
22115,METAL SIGN EMPIRE TEA,2913,318,23.623680892502325,3.941813261163735,9.160377358490566,103.0,131.0,3,11.825439783491206,Reorder Now,5786.620000000001,5786.620000000001,5786.620000000001,21409829.330000035,77.67122500206973,A
22687,DOORMAT CHRISTMAS VILLAGE,895,83,51.96505584613547,1.2110960757780784,10.783132530120485,227.0,235.0,15,18.16644113667117,Reorder Now,5784.67,5784.67,5784.67,21415614.000000037,77.6922108024798,A
22070,SMALL RED RETROSPOT MUG IN BOX ,1528,177,21.17931156377272,2.06765899864682,8.63276836158192,92.0,106.0,9,18.60893098782138,Reorder Now,5768.99,5768.99,5768.99,21421382.990000036,77.71313971851261,A
22070,SMALL RETRO SPOT MUG IN BOX  RED,325,63,3.664152189077433,0.4397834912043302,5.158730158730159,16.0,19.0,6,2.6387009472259813,Reorder Now,5768.99,5768.99,5768.99,21427151.980000034,77.73406863454542,A
21528,DAIRY MAID TRADITIONAL TEAPOT ,910,215,14.864555485465504,1.2313937753721245,4.232558139534884,65.0,74.0,13,16.00811907983762,Reorder Now,5763.22,5763.22,5763.22,21432915.200000033,77.75497661799811,A
21703,BAG 125g SWIRLY MARBLES,14797,348,99.13907297422384,20.02300405953992,42.520114942528735,433.0,573.0,6,120.13802435723952,Reorder Now,5742.31,5742.31,5742.31,21438657.51000003,77.77580874352171,A
84968B,SET OF 16 VINTAGE IVORY CUTLERY,5,5,0.0,0.006765899864682,1.0,0.0,0.0,11,0.074424898511502,OK,5732.41,5732.41,5732.41,21444389.92000003,77.79660495352654,A
84968B,S/16 VINTAGE IVORY CUTLERY,427,87,6.1030533416384944,0.577807848443843,4.908045977011494,27.0,31.0,11,6.355886332882274,Reorder Now,5732.41,5732.41,5732.41,21450122.33000003,77.81740116353136,A
22341,LOVE GARLAND PAINTED ZINC ,3483,190,71.66751976333582,4.713125845737483,18.33157894736842,313.0,346.0,11,51.84438430311232,Reorder Now,5728.71,5728.71,5728.71,21455851.040000033,77.83818395056453,A
23205,CHARLOTTE BAG VINTAGE ALPHABET ,5459,175,42.26975456596979,7.387009472259811,31.19428571428572,185.0,237.0,13,96.03112313937754,Reorder Now,5728.08,5728.08,5728.08,21461579.12000003,77.85896445206465,A
23205,CHARLOTTE BAG ALPHABET  DESIGN,400,17,24.73387769603369,0.5412719891745602,23.529411764705884,108.0,112.0,17,9.201623815967524,Reorder Now,5728.08,5728.08,5728.08,21467307.20000003,77.8797449535648,A
22060,LARGE CAKE STAND HANGING HEARTS,737,129,11.789954541929974,0.9972936400541272,5.713178294573644,51.0,58.0,18,17.95128552097429,Reorder Now,5719.21,5719.21,5719.21,21473026.41000003,77.90049327621125,A
22335,HEART DECORATION PAINTED ZINC ,8756,314,62.18317454779662,11.848443843031124,27.88535031847134,271.0,354.0,11,130.33288227334236,Reorder Now,5717.76,5717.76,5717.76,21478744.17000003,77.92123633850393,A
22653,BUTTON BOX ,3078,230,22.338437943573314,4.165087956698241,13.382608695652172,98.0,127.0,15,62.47631935047362,Reorder Now,5716.639999999999,5716.639999999999,5716.639999999999,21484460.810000032,77.94197533762681,A
82599,FANNY'S REST STOPMETAL SIGN,2585,276,10.787878695356104,3.4979702300405955,9.365942028985508,47.0,71.0,8,27.983761840324764,Reorder Now,5706.52,5706.52,5706.52,21490167.33000003,77.96267762310826,A
22854,CREAM SWEETHEART EGG HOLDER,1173,155,10.849034522151744,1.587280108254398,7.567741935483871,47.0,58.0,7,11.110960757780786,Reorder Now,5700.99,5700.99,5700.99,21495868.32000003,77.9833598466888,A
22156,HEART DECORATION WITH PEARLS ,6327,348,23.070346925959104,8.561569688768607,18.18103448275862,101.0,161.0,15,128.4235453315291,Reorder Now,5687.78,5687.78,5687.78,21501556.10000003,78.00399414663268,A
21900,"KEY FOB , SHED",8472,429,46.27984793846564,11.464140730717183,19.748251748251747,202.0,282.0,6,68.7848443843031,Reorder Now,5632.05,5632.05,5632.05,21507188.150000032,78.02442626760059,A
22602,CHRISTMAS RETROSPOT HEART WOOD,4565,108,54.70013522877602,6.177266576454668,42.26851851851852,239.0,282.0,13,80.30446549391068,Reorder Now,5629.21,5629.21,5629.21,21512817.360000033,78.04484808553079,A
22602,RETROSPOT WOODEN HEART DECORATION,2078,141,18.732952398712857,2.81190798376184,14.73758865248227,82.0,102.0,19,53.42625169147496,Reorder Now,5629.21,5629.21,5629.21,21518446.570000034,78.065269903461,A
21207,SKULL AND CROSSBONES  GARLAND ,3618,222,50.64419306598616,4.895805142083897,16.2972972972973,221.0,255.0,8,39.166441136671175,Reorder Now,5628.889999999999,5628.889999999999,5628.889999999999,21524075.460000034,78.08569056048555,A
84971S,SMALL HEART FLOWERS HOOK ,6636,315,32.588517379103834,8.979702300405954,21.066666666666663,142.0,205.0,9,80.81732070365359,Reorder Now,5627.17,5627.17,5627.17,21529702.630000036,78.10610497764218,A
22534,MAGIC SLATE SPACEBOY ,288,6,0.0,0.3897158322056833,48.0,0.0,3.0,2,0.7794316644113666,Reorder Now,5625.16,5625.16,5625.16,21535327.790000036,78.12651210286015,A
22534,MAGIC DRAWING SLATE SPACEBOY ,12871,316,85.23957155553558,17.416779431664413,40.73101265822785,372.0,494.0,19,330.91880920162384,Reorder Now,5625.16,5625.16,5625.16,21540952.950000037,78.14691922807812,A
40016,CHINESE DRAGON PAPER LANTERNS,15694,194,159.19229318029724,21.23680649526387,80.89690721649484,695.0,844.0,4,84.94722598105548,Reorder Now,5604.14,5604.14,5604.14,21546557.090000037,78.1672500963057,A
22168,ORGANISER WOOD ANTIQUE WHITE ,671,205,5.458714223661993,0.9079837618403248,3.273170731707317,24.0,30.0,4,3.6319350473612992,Reorder Now,5603.43,5603.43,5603.43,21552160.520000037,78.18757838877384,A
22168,"ORGANISER WOOD, ANTIQUE WHITE ",3,2,0.7071067811865476,0.0040595399188092,1.5,3.0,3.0,2,0.0081190798376184,Reorder Now,5603.43,5603.43,5603.43,21557763.950000037,78.207906681242,A
22443,GROW YOUR OWN HERBS SET OF 3,705,181,5.689661933357669,0.9539918809201624,3.895027624309392,25.0,32.0,8,7.631935047361299,Reorder Now,5601.05,5601.05,5601.05,21563365.000000037,78.2282263394743,A
22801,ANTIQUE GLASS PEDESTAL BOWL,1368,178,9.788838917798085,1.851150202976996,7.685393258426966,43.0,56.0,7,12.958051420838972,Reorder Now,5591.0,5591.0,5591.0,21568956.000000037,78.24850953801331,A
22670,FRENCH WC SIGN BLUE METAL,4492,248,64.76137571307225,6.078484438430311,18.11290322580645,283.0,326.0,18,109.4127198917456,Reorder Now,5590.61,5590.61,5590.61,21574546.610000037,78.26879132169854,A
22763,KEY CABINET MA CAMPAGNE,677,107,40.02187508005208,0.9161028416779432,6.327102803738318,175.0,181.0,15,13.741542625169147,Reorder Now,5590.2699999999995,5590.2699999999995,5590.2699999999995,21580136.880000036,78.28907187192151,A
22186,RED STAR CARD HOLDER,2041,176,12.66183420577546,2.761840324763193,11.596590909090908,55.0,74.0,10,27.61840324763193,Reorder Now,5573.110000000001,5573.110000000001,5573.110000000001,21585709.990000036,78.30929016857858,A
85061W,WHITE JEWELLED HEART DECORATION,6440,317,43.95518626456688,8.71447902571042,20.315457413249213,192.0,253.0,15,130.71718538565628,Reorder Now,5567.009999999999,5567.009999999999,5567.009999999999,21591277.000000037,78.32948633547157,A
23531,WALL ART BIG LOVE ,979,49,39.83899356363393,1.324763193504736,19.97959183673469,174.0,183.0,1,1.324763193504736,Reorder Now,5559.11,5559.11,5559.11,21596836.110000037,78.3496538425061,A
23126,DOLLCRAFT GIRL AMELIE KIT,66,8,12.848012631198204,0.0893098782138024,8.25,56.0,57.0,6,0.5358592692828144,Reorder Now,5556.79,5556.79,5556.79,21602392.900000036,78.36981293297464,A
23126,DOLLCRAFT GIRL AMELIE,36,8,1.4142135623730951,0.0487144790257104,4.5,6.0,6.0,2,0.0974289580514208,Reorder Now,5556.79,5556.79,5556.79,21607949.690000035,78.38997202344316,A
23126,FELTCRAFT GIRL AMELIE KIT,1012,146,6.895933368594181,1.3694181326116373,6.931506849315069,30.0,40.0,3,4.108254397834912,Reorder Now,5556.79,5556.79,5556.79,21613506.480000034,78.41013111391169,A
22203,MILK PAN RED RETROSPOT,1416,272,16.588404631617554,1.916102841677943,5.205882352941177,72.0,85.0,16,30.65764546684709,Reorder Now,5537.49,5537.49,5537.49,21619043.970000032,78.43022018725773,A
21112,SWISS ROLL TOWEL PINK  SPOTS,706,36,51.36551248664684,0.9553450608930988,19.61111111111111,224.0,231.0,13,12.419485791610285,Reorder Now,5531.5,5531.5,5531.5,21624575.470000032,78.450287529901,A
21112,"SWISS ROLL TOWEL, PINK  SPOTS",1528,113,28.754843488014803,2.06765899864682,13.52212389380531,126.0,140.0,1,2.06765899864682,Reorder Now,5531.5,5531.5,5531.5,21630106.970000032,78.47035487254426,A
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,3879,197,27.95952903123738,5.2489851150202975,19.69035532994924,122.0,159.0,13,68.23680649526386,Reorder Now,5531.31,5531.31,5531.31,21635638.28000003,78.49042152589979,A
22775,DRAWERKNOB ACRYLIC EDWARDIAN PURPLE,24,1,0.0,0.0324763193504736,24.0,0.0,0.0,17,0.5520974289580511,OK,5531.31,5531.31,5531.31,21641169.59000003,78.5104881792553,A
22483,RED GINGHAM TEDDY BEAR ,1901,240,13.614767983790278,2.5723951285520976,7.920833333333333,59.0,77.0,5,12.861975642760488,Reorder Now,5529.070000000001,5529.070000000001,5529.070000000001,21646698.66000003,78.53054670627124,A
23177,TREASURE ISLAND BOOK BOX,2535,154,53.363120740101536,3.430311231393776,16.461038961038962,233.0,257.0,4,13.721244925575103,Reorder Now,5528.04,5528.04,5528.04,21652226.70000003,78.55060149662208,A
23133,LARGE IVORY HEART WALL ORGANISER,782,107,19.717538986353336,1.0581867388362651,7.308411214953271,86.0,93.0,5,5.290933694181326,Reorder Now,5525.4,5525.4,5525.4,21657752.100000028,78.57064670950123,A
20983,12 PENCILS TALL TUBE RED SPOTTY,2360,163,19.75602343631452,3.1935047361299054,14.478527607361965,86.0,108.0,17,54.28958051420839,Reorder Now,5521.78,5521.78,5521.78,21663273.88000003,78.59067878963516,A
20983,12 PENCILS TALL TUBE RED RETROSPOT,3982,214,22.35448805778702,5.388362652232747,18.60747663551402,98.0,136.0,12,64.66035182679296,Reorder Now,5521.78,5521.78,5521.78,21668795.66000003,78.61071086976908,A
23158,SET OF 5 LUCKY CAT MAGNETS ,2635,140,29.22482138516609,3.565629228687416,18.821428571428573,128.0,153.0,5,17.82814614343708,Reorder Now,5517.99,5517.99,5517.99,21674313.65000003,78.6307292004266,A
23583,LUNCH BAG PAISLEY PARK  ,3395,40,72.18465903500548,4.59404600811908,84.875,315.0,347.0,2,9.18809201623816,Reorder Now,5513.83,5513.83,5513.83,21679827.480000027,78.65073243931057,A
21587,COSY HOUR GIANT TUBE MATCHES,2211,113,18.055408818706365,2.991880920162381,19.56637168141593,79.0,100.0,18,53.85385656292286,Reorder Now,5508.45,5508.45,5508.45,21685335.930000026,78.67071616046817,A
22437,SET OF 9 BLACK SKULL BALLOONS,6566,298,52.36525644217079,8.884979702300406,22.033557046979865,229.0,291.0,12,106.61975642760488,Reorder Now,5505.41,5505.41,5505.41,21690841.340000026,78.69068885302202,A
21363,HOME SMALL WOOD LETTERS,1020,260,3.5934633590700367,1.3802435723951283,3.923076923076923,16.0,26.0,11,15.18267929634641,Reorder Now,5505.03,5505.03,5505.03,21696346.370000027,78.71066016700041,A
